ICD10,PheCode,ICD10 String,Phenotype,Excl. Phecodes,Excl. Phenotypes,category
A04.8,008.5,Other specified bacterial intestinal infections,Bacterial enteritis,001-009.99,Intestinal infection,infectious diseases
A04.9,008.5,"Bacterial intestinal infection, unspecified",Bacterial enteritis,001-009.99,Intestinal infection,infectious diseases
A05.0,008.5,Foodborne staphylococcal intoxication,Bacterial enteritis,001-009.99,Intestinal infection,infectious diseases
A05.1,008.5,Botulism,Bacterial enteritis,001-009.99,Intestinal infection,infectious diseases
A05.2,008.5,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,Bacterial enteritis,001-009.99,Intestinal infection,infectious diseases
A05.3,008.5,Foodborne Vibrio parahaemolyticus intoxication,Bacterial enteritis,001-009.99,Intestinal infection,infectious diseases
A05.4,008.5,Foodborne Bacillus cereus intoxication,Bacterial enteritis,001-009.99,Intestinal infection,infectious diseases
A05.8,008.5,Other specified bacterial foodborne intoxications,Bacterial enteritis,001-009.99,Intestinal infection,infectious diseases
A05.9,008,"Bacterial foodborne intoxication, unspecified",Intestinal infection,001-009.99,Intestinal infection,infectious diseases
A06,008,Amoebiasis,Intestinal infection,001-009.99,Intestinal infection,infectious diseases
A06.0,008,Acute amoebic dysentery,Intestinal infection,001-009.99,Intestinal infection,infectious diseases
A06.1,008.7,Chronic intestinal amoebiasis,Intestinal infection due to protozoa,001-009.99,Intestinal infection,infectious diseases
A06.2,008,Amoebic nondysenteric colitis,Intestinal infection,001-009.99,Intestinal infection,infectious diseases
A06.3,008,Amoeboma of intestine,Intestinal infection,001-009.99,Intestinal infection,infectious diseases
A06.4,008,Amoebic liver abscess,Intestinal infection,001-009.99,Intestinal infection,infectious diseases
A06.5,008,Amoebic lung abscess,Intestinal infection,001-009.99,Intestinal infection,infectious diseases
A06.6,008,Amoebic brain abscess,Intestinal infection,001-009.99,Intestinal infection,infectious diseases
A06.7,008,Cutaneous amoebiasis,Intestinal infection,001-009.99,Intestinal infection,infectious diseases
A06.8,008,Amoebic infection of other sites,Intestinal infection,001-009.99,Intestinal infection,infectious diseases
A06.9,008,"Amoebiasis, unspecified",Intestinal infection,001-009.99,Intestinal infection,infectious diseases
A07,008,Other protozoal intestinal diseases,Intestinal infection,001-009.99,Intestinal infection,infectious diseases
A07.0,008.7,Balantidiasis,Intestinal infection due to protozoa,001-009.99,Intestinal infection,infectious diseases
A07.1,008.7,Giardiasis [lambliasis],Intestinal infection due to protozoa,001-009.99,Intestinal infection,infectious diseases
A07.2,008.7,Cryptosporidiosis,Intestinal infection due to protozoa,001-009.99,Intestinal infection,infectious diseases
A07.3,008,Isosporiasis,Intestinal infection,001-009.99,Intestinal infection,infectious diseases
A07.8,008.7,Other specified protozoal intestinal diseases,Intestinal infection due to protozoa,001-009.99,Intestinal infection,infectious diseases
A07.9,008,"Protozoal intestinal disease, unspecified",Intestinal infection,001-009.99,Intestinal infection,infectious diseases
A08,008.6,Viral and other specified intestinal infections,Viral Enteritis,001-009.99,Intestinal infection,infectious diseases
A08.0,008.6,Rotaviral enteritis,Viral Enteritis,001-009.99,Intestinal infection,infectious diseases
A08.1,008.6,Acute gastroenteropathy due to Norwalk agent,Viral Enteritis,001-009.99,Intestinal infection,infectious diseases
A08.2,008.6,Adenoviral enteritis,Viral Enteritis,001-009.99,Intestinal infection,infectious diseases
A08.3,008.6,Other viral enteritis,Viral Enteritis,001-009.99,Intestinal infection,infectious diseases
A08.4,008.6,"Viral intestinal infection, unspecified",Viral Enteritis,001-009.99,Intestinal infection,infectious diseases
A08.5,008.6,Other specified intestinal infections,Viral Enteritis,001-009.99,Intestinal infection,infectious diseases
A09,008,Other gastroenteritis and colitis of infectious and unspecified origin,Intestinal infection,001-009.99,Intestinal infection,infectious diseases
A15.0,010,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",Tuberculosis,010-041.99,bacterial infection,infectious diseases
A15.1,010,"Tuberculosis of lung, confirmed by culture only",Tuberculosis,010-041.99,bacterial infection,infectious diseases
A15.2,010,"Tuberculosis of lung, confirmed histologically",Tuberculosis,010-041.99,bacterial infection,infectious diseases
A15.3,010,"Tuberculosis of lung, confirmed by unspecified means",Tuberculosis,010-041.99,bacterial infection,infectious diseases
A15.4,010,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",Tuberculosis,010-041.99,bacterial infection,infectious diseases
A15.5,010,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",Tuberculosis,010-041.99,bacterial infection,infectious diseases
A15.6,010,"Tuberculous pleurisy, confirmed bacteriologically and histologically",Tuberculosis,010-041.99,bacterial infection,infectious diseases
A15.7,010,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",Tuberculosis,010-041.99,bacterial infection,infectious diseases
A15.9,010,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",Tuberculosis,010-041.99,bacterial infection,infectious diseases
A15.9,041,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A16,010,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",Tuberculosis,010-041.99,bacterial infection,infectious diseases
A16.0,010,"Tuberculosis of lung, bacteriologically and histologically negative",Tuberculosis,010-041.99,bacterial infection,infectious diseases
A16.1,010,"Tuberculosis of lung, bacteriological and histological examination not done",Tuberculosis,010-041.99,bacterial infection,infectious diseases
A16.2,010,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",Tuberculosis,010-041.99,bacterial infection,infectious diseases
A16.3,010,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",Tuberculosis,010-041.99,bacterial infection,infectious diseases
A16.4,010,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",Tuberculosis,010-041.99,bacterial infection,infectious diseases
A16.5,010,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",Tuberculosis,010-041.99,bacterial infection,infectious diseases
A16.7,010,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,Tuberculosis,010-041.99,bacterial infection,infectious diseases
A16.9,010,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",Tuberculosis,010-041.99,bacterial infection,infectious diseases
A17,010,Tuberculosis of nervous system,Tuberculosis,010-041.99,bacterial infection,infectious diseases
A17.0,010,Tuberculous meningitis,Tuberculosis,010-041.99,bacterial infection,infectious diseases
A17.1,010,Meningeal tuberculoma,Tuberculosis,010-041.99,bacterial infection,infectious diseases
A17.8,010,Other tuberculosis of nervous system,Tuberculosis,010-041.99,bacterial infection,infectious diseases
A17.9,010,"Tuberculosis of nervous system, unspecified",Tuberculosis,010-041.99,bacterial infection,infectious diseases
A18,010,Tuberculosis of other organs,Tuberculosis,010-041.99,bacterial infection,infectious diseases
A18.0,010,Tuberculosis of bones and joints,Tuberculosis,010-041.99,bacterial infection,infectious diseases
A18.1,010,Tuberculosis of genitourinary system,Tuberculosis,010-041.99,bacterial infection,infectious diseases
A18.2,010,Tuberculous peripheral lymphadenopathy,Tuberculosis,010-041.99,bacterial infection,infectious diseases
A18.3,010,"Tuberculosis of intestines, peritoneum and mesenteric glands",Tuberculosis,010-041.99,bacterial infection,infectious diseases
A18.4,010,Tuberculosis of skin and subcutaneous tissue,Tuberculosis,010-041.99,bacterial infection,infectious diseases
A18.5,010,Tuberculosis of eye,Tuberculosis,010-041.99,bacterial infection,infectious diseases
A18.6,010,Tuberculosis of ear,Tuberculosis,010-041.99,bacterial infection,infectious diseases
A18.7,010,Tuberculosis of adrenal glands,Tuberculosis,010-041.99,bacterial infection,infectious diseases
A18.8,010,Tuberculosis of other specified organs,Tuberculosis,010-041.99,bacterial infection,infectious diseases
A19,010,Miliary tuberculosis,Tuberculosis,010-041.99,bacterial infection,infectious diseases
A19.0,010,Acute miliary tuberculosis of a single specified site,Tuberculosis,010-041.99,bacterial infection,infectious diseases
A19.1,010,Acute miliary tuberculosis of multiple sites,Tuberculosis,010-041.99,bacterial infection,infectious diseases
A19.2,010,"Acute miliary tuberculosis, unspecified",Tuberculosis,010-041.99,bacterial infection,infectious diseases
A19.8,010,Other miliary tuberculosis,Tuberculosis,010-041.99,bacterial infection,infectious diseases
A19.9,010,"Miliary tuberculosis, unspecified",Tuberculosis,010-041.99,bacterial infection,infectious diseases
A20,041,Plague,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A20.0,041,Bubonic plague,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A20.1,686,Cellulocutaneous plague,Other local infections of skin and subcutaneous tissue,680-686.99,Skin and subcutaneous tissue infections,dermatologic
A20.2,480.1,Pneumonic plague,Bacterial pneumonia,480-488.99,Pneumonia and influenza,respiratory
A20.3,041,Plague meningitis,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A20.7,038.1,Septicaemic plague,Gram negative septicemia,010-041.99,bacterial infection,infectious diseases
A20.8,041,Other forms of plague,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A20.9,041,"Plague, unspecified",Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A21,041,Tularaemia,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A21.0,686,Ulceroglandular tularaemia,Other local infections of skin and subcutaneous tissue,680-686.99,Skin and subcutaneous tissue infections,dermatologic
A21.1,369,Oculoglandular tularaemia,Infection of the eye,369-374.99,infection/inflammation of eye,sense organs
A21.2,480.1,Pulmonary tularaemia,Bacterial pneumonia,480-488.99,Pneumonia and influenza,respiratory
A21.3,008,Gastrointestinal tularaemia,Intestinal infection,001-009.99,Intestinal infection,infectious diseases
A21.7,041,Generalized tularaemia,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A21.8,041,Other forms of tularaemia,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A21.9,041,"Tularaemia, unspecified",Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A22,041,Anthrax,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A22.0,686,Cutaneous anthrax,Other local infections of skin and subcutaneous tissue,680-686.99,Skin and subcutaneous tissue infections,dermatologic
A22.1,480.1,Pulmonary anthrax,Bacterial pneumonia,480-488.99,Pneumonia and influenza,respiratory
A22.2,008,Gastrointestinal anthrax,Intestinal infection,001-009.99,Intestinal infection,infectious diseases
A22.7,038.2,Anthrax sepsis,Gram positive septicemia,010-041.99,bacterial infection,infectious diseases
A22.8,041,Other forms of anthrax,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A22.9,041,"Anthrax, unspecified",Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A23,041,Brucellosis,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A23.0,041,Brucellosis due to Brucella melitensis,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A23.1,041,Brucellosis due to Brucella abortus,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A23.2,041,Brucellosis due to Brucella suis,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A23.3,041,Brucellosis due to Brucella canis,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A23.8,041,Other brucellosis,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A23.9,041,"Brucellosis, unspecified",Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A24,041,Glanders and melioidosis,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A24.0,041,Glanders,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A24.1,041,Acute and fulminating melioidosis,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A24.2,041,Subacute and chronic melioidosis,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A24.3,041,Other melioidosis,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A24.4,041,"Melioidosis, unspecified",Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A25,041,Rat-bite fevers,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A25.0,041,Spirillosis,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A25.1,711,Streptobacillosis,Arthropathy associated with infections,710-716.99,Arthropathies,musculoskeletal
A25.9,041,"Rat-bite fever, unspecified",Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A26,041,Erysipeloid,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A26.0,529.1,Cutaneous erysipeloid,Glossitis,527-529.99,Diseases of mouth; excluding dental,digestive
A26.0,041,Cutaneous erysipeloid,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A26.7,041,Erysipelothrix sepsis,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A26.7,994.2,Erysipelothrix sepsis,Sepsis,994-994.99,Sepsis and SIRS,injuries & poisonings
A26.8,041,Other forms of erysipeloid,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A26.9,041,"Erysipeloid, unspecified",Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A27,130,Leptospirosis,Spirochetal infection,130-136.99,Other infections; including parasitic,infectious diseases
A27.0,130,Leptospirosis icterohaemorrhagica,Spirochetal infection,130-136.99,Other infections; including parasitic,infectious diseases
A27.8,130,Other forms of leptospirosis,Spirochetal infection,130-136.99,Other infections; including parasitic,infectious diseases
A27.9,130,"Leptospirosis, unspecified",Spirochetal infection,130-136.99,Other infections; including parasitic,infectious diseases
A28.0,041,Pasteurellosis,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A28.1,079,Cat-scratch disease,Viral infection,050-079.99,Viral infection,infectious diseases
A28.2,041,Extraintestinal yersiniosis,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A28.8,041,"Other specified zoonotic bacterial diseases, not elsewhere classified",Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A28.9,041,"Zoonotic bacterial disease, unspecified",Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A30,031.1,Leprosy [Hansen disease],Leprosy,010-041.99,bacterial infection,infectious diseases
A30.0,031.1,Indeterminate leprosy,Leprosy,010-041.99,bacterial infection,infectious diseases
A30.1,031.1,Tuberculoid leprosy,Leprosy,010-041.99,bacterial infection,infectious diseases
A30.2,031.1,Borderline tuberculoid leprosy,Leprosy,010-041.99,bacterial infection,infectious diseases
A30.3,031.1,Borderline leprosy,Leprosy,010-041.99,bacterial infection,infectious diseases
A30.4,031.1,Borderline lepromatous leprosy,Leprosy,010-041.99,bacterial infection,infectious diseases
A30.5,031.1,Lepromatous leprosy,Leprosy,010-041.99,bacterial infection,infectious diseases
A30.8,031.1,Other forms of leprosy,Leprosy,010-041.99,bacterial infection,infectious diseases
A30.9,031.1,"Leprosy, unspecified",Leprosy,010-041.99,bacterial infection,infectious diseases
A31.0,480.1,Pulmonary mycobacterial infection,Bacterial pneumonia,480-488.99,Pneumonia and influenza,respiratory
A31.1,686,Cutaneous mycobacterial infection,Other local infections of skin and subcutaneous tissue,680-686.99,Skin and subcutaneous tissue infections,dermatologic
A31.8,031,Other mycobacterial infections,Diseases due to other mycobacteria,010-041.99,bacterial infection,infectious diseases
A31.9,031,"Mycobacterial infection, unspecified",Diseases due to other mycobacteria,010-041.99,bacterial infection,infectious diseases
A32,041,Listeriosis,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A32.0,041,Cutaneous listeriosis,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A32.1,041,Listerial meningitis and meningoencephalitis,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A32.7,041,Listerial sepsis,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A32.8,041,Other forms of listeriosis,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A32.9,041,"Listeriosis, unspecified",Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A33,657,Tetanus neonatorum,Infections specific to the perinatal period,657-657.99,Infections specific to the perinatal period,pregnancy complications
A34,639,Obstetrical tetanus,Complications following abortion or ectopic and molar pregnancies,634-639.99," miscarriage, early labor, hemorrhage",pregnancy complications
A35,041,Other tetanus,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A36,041,Diphtheria,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A36.0,465,Pharyngeal diphtheria,Acute upper respiratory infections of multiple or unspecified sites,460-469.99,acute upper respiratory infections,respiratory
A36.1,465,Nasopharyngeal diphtheria,Acute upper respiratory infections of multiple or unspecified sites,460-469.99,acute upper respiratory infections,respiratory
A36.2,465,Laryngeal diphtheria,Acute upper respiratory infections of multiple or unspecified sites,460-469.99,acute upper respiratory infections,respiratory
A36.3,686,Cutaneous diphtheria,Other local infections of skin and subcutaneous tissue,680-686.99,Skin and subcutaneous tissue infections,dermatologic
A36.8,041,Other diphtheria,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A36.9,041,"Diphtheria, unspecified",Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A37,041,Whooping cough,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A37.0,041,Whooping cough due to Bordetella pertussis,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A37.1,041,Whooping cough due to Bordetella parapertussis,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A37.9,041,"Whooping cough, unspecified",Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A38,041.2,Scarlet fever,Streptococcus infection,010-041.99,bacterial infection,infectious diseases
A39,041,Meningococcal infection,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A39.0,320,Meningococcal meningitis,Meningitis,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM,neurological
A39.1,041,Waterhouse-Friderichsen syndrome,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A39.2,038.1,Acute meningococcaemia,Gram negative septicemia,010-041.99,bacterial infection,infectious diseases
A39.3,038.1,Chronic meningococcaemia,Gram negative septicemia,010-041.99,bacterial infection,infectious diseases
A39.4,038.1,"Meningococcaemia, unspecified",Gram negative septicemia,010-041.99,bacterial infection,infectious diseases
A39.5,420,Meningococcal heart disease,Carditis,420-425.99,Other peri-; endo-; and myocarditis,circulatory system
A39.8,041,Other meningococcal infections,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A39.9,041,"Meningococcal infection, unspecified",Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A40,038.1,Streptococcal sepsis,Gram negative septicemia,010-041.99,bacterial infection,infectious diseases
A40.0,038.1,"Sepsis due to streptococcus, group A",Gram negative septicemia,010-041.99,bacterial infection,infectious diseases
A40.1,041.2,"Sepsis due to streptococcus, group B",Streptococcus infection,010-041.99,bacterial infection,infectious diseases
A40.1,038.1,"Sepsis due to streptococcus, group B",Gram negative septicemia,010-041.99,bacterial infection,infectious diseases
A40.2,041.2,"Sepsis due to streptococcus, group D",Streptococcus infection,010-041.99,bacterial infection,infectious diseases
A40.2,038.1,"Sepsis due to streptococcus, group D",Gram negative septicemia,010-041.99,bacterial infection,infectious diseases
A40.3,038.2,Sepsis due to Streptococcus pneumoniae,Gram positive septicemia,010-041.99,bacterial infection,infectious diseases
A40.8,038.1,Other streptococcal sepsis,Gram negative septicemia,010-041.99,bacterial infection,infectious diseases
A40.9,038.1,"Streptococcal sepsis, unspecified",Gram negative septicemia,010-041.99,bacterial infection,infectious diseases
A41.0,038.2,Sepsis due to Staphylococcus aureus,Gram positive septicemia,010-041.99,bacterial infection,infectious diseases
A41.1,038.2,Sepsis due to other specified staphylococcus,Gram positive septicemia,010-041.99,bacterial infection,infectious diseases
A41.2,038.2,Sepsis due to unspecified staphylococcus,Gram positive septicemia,010-041.99,bacterial infection,infectious diseases
A41.3,038.1,Sepsis due to Haemophilus influenzae,Gram negative septicemia,010-041.99,bacterial infection,infectious diseases
A41.4,038,Sepsis due to anaerobes,Septicemia,010-041.99,bacterial infection,infectious diseases
A41.5,038.1,Sepsis due to other Gram-negative organisms,Gram negative septicemia,010-041.99,bacterial infection,infectious diseases
A41.8,038,Other specified sepsis,Septicemia,010-041.99,bacterial infection,infectious diseases
A41.9,994.2,"Sepsis, unspecified",Sepsis,994-994.99,Sepsis and SIRS,injuries & poisonings
A41.9,038,"Sepsis, unspecified",Septicemia,010-041.99,bacterial infection,infectious diseases
A42,041,Actinomycosis,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A42.0,480.1,Pulmonary actinomycosis,Bacterial pneumonia,480-488.99,Pneumonia and influenza,respiratory
A42.1,041,Abdominal actinomycosis,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A42.2,041,Cervicofacial actinomycosis,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A42.7,038,Actinomycotic sepsis,Septicemia,010-041.99,bacterial infection,infectious diseases
A42.7,994.2,Actinomycotic sepsis,Sepsis,994-994.99,Sepsis and SIRS,injuries & poisonings
A42.8,041,Other forms of actinomycosis,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A42.9,041,"Actinomycosis, unspecified",Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A43,041,Nocardiosis,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A43.0,480.1,Pulmonary nocardiosis,Bacterial pneumonia,480-488.99,Pneumonia and influenza,respiratory
A43.1,686,Cutaneous nocardiosis,Other local infections of skin and subcutaneous tissue,680-686.99,Skin and subcutaneous tissue infections,dermatologic
A43.8,041,Other forms of nocardiosis,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A43.9,041,"Nocardiosis, unspecified",Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A44,133,Bartonellosis,Arthropod-borne diseases,130-136.99,Other infections; including parasitic,infectious diseases
A44.0,133,Systemic bartonellosis,Arthropod-borne diseases,130-136.99,Other infections; including parasitic,infectious diseases
A44.1,133,Cutaneous and mucocutaneous bartonellosis,Arthropod-borne diseases,130-136.99,Other infections; including parasitic,infectious diseases
A44.8,133,Other forms of bartonellosis,Arthropod-borne diseases,130-136.99,Other infections; including parasitic,infectious diseases
A44.9,133,"Bartonellosis, unspecified",Arthropod-borne diseases,130-136.99,Other infections; including parasitic,infectious diseases
A46,686,Erysipelas,Other local infections of skin and subcutaneous tissue,680-686.99,Skin and subcutaneous tissue infections,dermatologic
A48.0,041,Gas gangrene,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A48.1,480.1,Legionnaires disease,Bacterial pneumonia,480-488.99,Pneumonia and influenza,respiratory
A48.2,041,Nonpneumonic Legionnaires disease [Pontiac fever],Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A48.3,041,Toxic shock syndrome,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A48.4,041,Brazilian purpuric fever,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A48.8,041,Other specified bacterial diseases,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A49,041,Bacterial infection of unspecified site,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A49.0,041.1,"Staphylococcal infection, unspecified site",Staphylococcus infections,010-041.99,bacterial infection,infectious diseases
A49.1,041.2,"Streptococcal and enterococcal infection, unspecified site",Streptococcus infection,010-041.99,bacterial infection,infectious diseases
A49.2,041,"Haemophilus influenzae infection, unspecified site",Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A49.3,041,"Mycoplasma infection, unspecified site",Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A49.8,041,Other bacterial infections of unspecified site,Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A49.9,041,"Bacterial infection, unspecified",Bacterial infection NOS,010-041.99,bacterial infection,infectious diseases
A50,090,Congenital syphilis,Sexually transmitted infections (not HIV or hepatitis),090-092.99,Sexually transmitted infections (not hiv or hepatitis),infectious diseases
A50.0,090,"Early congenital syphilis, symptomatic",Sexually transmitted infections (not HIV or hepatitis),090-092.99,Sexually transmitted infections (not hiv or hepatitis),infectious diseases
A50.1,090,"Early congenital syphilis, latent",Sexually transmitted infections (not HIV or hepatitis),090-092.99,Sexually transmitted infections (not hiv or hepatitis),infectious diseases
A50.2,090,"Early congenital syphilis, unspecified",Sexually transmitted infections (not HIV or hepatitis),090-092.99,Sexually transmitted infections (not hiv or hepatitis),infectious diseases
A50.3,090,Late congenital syphilitic oculopathy,Sexually transmitted infections (not HIV or hepatitis),090-092.99,Sexually transmitted infections (not hiv or hepatitis),infectious diseases
